央视卫视,#genre#
连云港新闻综合,http://8.146.211.219:2000/live_tv?pid=2de28d9963665ef36fb0e2bbfa828f1c
南京科教频道,http://8.146.211.219:2000/live_tv?pid=33915f0ee1695787f6edf109b2b720c9
南京十八频道,http://8.146.211.219:2000/live_tv?pid=099c0f07fa9f7a150a64d175d2dd6abc
南京新闻综合,http://8.146.211.219:2000/live_tv?pid=d7968cd78af27f933e1908e48a98b4eb
上海新闻综合,http://8.146.211.219:2000/live_tv?pid=74f5412f0f238fdeff0ad836398fa0ae
泰州新闻综合,http://8.146.211.219:2000/live_tv?pid=af5f9f224d6c3539fe1cc67c85225316
宿迁新闻综合,http://8.146.211.219:2000/live_tv?pid=df8bcaac10aaa5d58c2ce345a29f42c2
徐州新闻综合,http://8.146.211.219:2000/live_tv?pid=1a3d4cf2f0897ca69cb18a2c3fcc538e
优漫卡通频道,http://8.146.211.219:2000/live_tv?pid=d2b42a9ed066ba0e99e94488c873ac98
CCTV-阿拉伯语,http://8.146.211.219:2000/live_tv?pid=0846c61542b40e7dcdc9f3b2592c585d
CCTV-俄语,http://8.146.211.219:2000/live_tv?pid=d730e1a53878488b00bcb32c29819487
CCTV-法语,http://8.146.211.219:2000/live_tv?pid=7afbebfb4d5fc7c7892cd277876914dd
CCTV-西班牙语,http://8.146.211.219:2000/live_tv?pid=32264ee49a65bf84f06d4f957af60595
CGTN,http://8.146.211.219:2000/live_tv?pid=c5d9c792f014c9f0f785a157734268ec
NBA经典,http://8.146.211.219:2000/live_tv?pid=0f2f0732773103a7bda12f5a7e69c06a
发现之旅,http://8.146.211.219:2000/live_tv?pid=2e168ab2852f3537b5441e285e18be1f
掼蛋精英赛,http://8.146.211.219:2000/live_tv?pid=73014cbaeac799851c58d7457e5b24c8
欢笑剧场,http://8.146.211.219:2000/live_tv?pid=6b26b3940a8f761750501fc38b5925f8
劲爆体育,http://8.146.211.219:2000/live_tv?pid=5e668becbec68ee53577b2a9af6dc9d9
老故事,http://8.146.211.219:2000/live_tv?pid=845f44ce85106385dcf5aa6e355bd503
魅力足球,http://8.146.211.219:2000/live_tv?pid=f14873841f92ada473fcc08fa6076c37
咪咕24小时体育台,http://8.146.211.219:2000/live_tv?pid=d7fd673f9664f7bfea69e43ada58e2c6
赛事最经典,http://8.146.211.219:2000/live_tv?pid=5fbe61ead1c557b4bebe1a8d27858e1c
体坛名栏汇,http://8.146.211.219:2000/live_tv?pid=309bd412f440be5a934ddd017004899b
五大联赛,http://8.146.211.219:2000/live_tv?pid=1dd634a69ce4bb7dad5ff14f6e959013
游戏风云,http://8.146.211.219:2000/live_tv?pid=b851ae182d6c916965b3fb06af682e66
中国足球风云,http://8.146.211.219:2000/live_tv?pid=b3dc25ca24ab789851c63cc4bc80b7ea
中学生,http://8.146.211.219:2000/live_tv?pid=210f8bd200afd4d2220ec16e3560156b
金色剧场,http://8.146.211.219:2000/live_tv?pid=feb2f2a4c3e62ebf6d6d0040fcb87ca4
红色轮播台,http://8.146.211.219:2000/live_tv?pid=1d5f80eb77d500d13df1b26a358c6cab
军事迷必看大片,http://8.146.211.219:2000/live_tv?pid=9405ad19a157321055b76143edadc714
卫视频道,#genre#
浙江卫视,http://8.146.211.219:2000/live_tv?pid=7a173c3e39724894c7465da37d5ade40
湖南卫视,http://8.146.211.219:2000/live_tv?pid=f2ff0a2afe3d386946a8817b58da17bc
江苏卫视,http://8.146.211.219:2000/live_tv?pid=903bfdb36aad722e1752b5cb0b48b7b1
上海东方卫视,http://8.146.211.219:2000/live_tv?pid=ca0ded47e15fb4bc62c585c64e1b090e
